,Name,Text,Time
56,Alexandria Ocasio-Cortez,"66% of American voters across all political affiliations support a ceasefire, but if you support one in Congress you’re “far left.”

Left of what? 🤔",2023-11-04 13:11:34+00:00
57,Adam Shatz,"Question to the @nytimes: why is the paper referring— in its *reporting*—to Rashida Tlaib and other Democrats calling for a ceasefire as ‘far left’? Tlaib, A0C, Omar et al are Sanders Democrats. The effect (if not the intention) is to make them seem beyond the pale. They are not.",2023-11-04 12:20:17+00:00
58,Alexandria Ocasio-Cortez,"RT @alex_sammon: Biden admin officials admitting that the pressure on them to call for a ceasefire is becoming undeniable. All the calling, emailing, and protesting is working. https://t.co/N0A97TbQRq",2023-11-03 23:52:33+00:00
59,Alex Sammon,"Biden admin officials admitting that the pressure on them to call for a ceasefire is becoming undeniable. All the calling, emailing, and protesting is working. https://t.co/N0A97TbQRq",2023-11-03 14:09:27+00:00
60,Alexandria Ocasio-Cortez,"RT @RepJasonCrow: This should not have happened.

I have fought wars in crowded cities. When civilians were present, it changed our plans.

Terrorists often use humans as shields. But that does not change your obligation to protect civilians. Period.",2023-11-03 03:39:52+00:00
61,Rep. Jason Crow,"This should not have happened.

I have fought wars in crowded cities. When civilians were present, it changed our plans.

Terrorists often use humans as shields. But that does not change your obligation to protect civilians. Period.",2023-11-02 18:21:28+00:00
62,CNN,JUST IN: Israel confirms an IDF attack caused the massive blast at Gaza's largest refugee camp that has reportedly left many people dead and injured https://t.co/BaxwPbrmkX,2023-10-31 18:09:46+00:00
63,Alexandria Ocasio-Cortez,"RT @IfNotNowOrg: This ad campaign targeting Rashida Tlaib is dangerous. It should be condemned by Democrats and taken down now.

@DemMaj4Israel &amp; @AIPAC use Republican donor money to pit Jewish Democrats against Muslim Democrats.

We won’t let them tear our communities apart with fear-mongering.",2023-11-02 19:40:40+00:00
64,IfNotNow🔥,"This ad campaign targeting Rashida Tlaib is dangerous. It should be condemned by Democrats and taken down now.

@DemMaj4Israel &amp; @AIPAC use Republican donor money to pit Jewish Democrats against Muslim Democrats.

We won’t let them tear our communities apart with fear-mongering.",2023-11-02 17:45:52+00:00
65,Josh Kraushaar,"BREAKING: Democratic Majority For Israel goes up with 6-figure ad buy in Detroit against Rep. Rashida Tlaib (D-MI) over her hostility against Israel.

Ad is titled: “History and Humanity” https://t.co/vwHlT0D7JO",2023-11-02 10:54:26+00:00
66,Alexandria Ocasio-Cortez,"RT @WorkingFamilies: .@AOC is spot on. 

In Democratic primaries, @AIPAC uses Republican dollars to attack candidates who believe in Medicare for All, universal childcare, tuition-free college, and so much more. 

In general elections, it backs extremist insurrectionists who undermine our democracy.",2023-11-02 18:59:55+00:00
67,Working Families Party 🐺,".@AOC is spot on. 

In Democratic primaries, @AIPAC uses Republican dollars to attack candidates who believe in Medicare for All, universal childcare, tuition-free college, and so much more. 

In general elections, it backs extremist insurrectionists who undermine our democracy.",2023-11-02 16:29:24+00:00
68,Alexandria Ocasio-Cortez,"RT @UNHumanRights: #Gaza – Given the high number of civilian casualties &amp; the scale of destruction following Israeli airstrikes on Jabalia refugee camp, we have serious concerns that these are disproportionate attacks that could amount to war crimes. https://t.co/ky2jYVrhJq",2023-11-02 04:27:32+00:00
69,UN Human Rights,"#Gaza – Given the high number of civilian casualties &amp; the scale of destruction following Israeli airstrikes on Jabalia refugee camp, we have serious concerns that these are disproportionate attacks that could amount to war crimes. https://t.co/ky2jYVrhJq",2023-11-01 18:30:05+00:00
70,Alexandria Ocasio-Cortez,"Think about how frequently Congress raises the prospect of publicly disciplining the only two Muslim women here (today considered censure), and compare that to the ease in which this Rep unfurls bigotry on the House floor.

We can stop pretending people are treated equally here.",2023-11-02 03:33:59+00:00
71,Acyn,"Mast: I think when we look at this, as a whole, I would encourage the other side to not so lightly throw around the idea of innocent Palestinian civilians. I don't think we would so lightly throw around the term innocent Nazi civilians https://t.co/OqDpJHZiHV",2023-11-01 18:49:24+00:00
72,Alexandria Ocasio-Cortez,"Ady gave everything he had fighting for others and Medicare for All.

He was a gift to this country and to all who knew him. This is a heartbreaking loss.

Sending love and strength to Ady’s family, his wife Rachael, and his children. We won’t stop until Ady’s vision is realized.",2023-11-02 02:31:11+00:00
73,Ady Barkan,"Hi all, this is Ady’s wife, Rachael. I’m devastated to share the news that Ady has died from complications of ALS. You probably knew Ady as a healthcare activist. But more importantly he was a wonderful dad and my life partner for 18 years. [1/4] https://t.co/KZ8k73Gujp",2023-11-02 01:52:00+00:00
74,Alexandria Ocasio-Cortez,"RT @IlhanMN: AIPAC literally ran ads with my face next to Hamas rockets, resulting in a string of threats against my life. 

When Democratic Leadership called them out, they refused to apologize and kept the ads up. 

What they are doing is insulting and Islamophobic.

You cannot claim to be progressive while launching a Super PAC that exclusively targets progressives and supports Republicans in the general.",2023-11-01 22:03:59+00:00
75,Ilhan Omar,"AIPAC literally ran ads with my face next to Hamas rockets, resulting in a string of threats against my life. 

When Democratic Leadership called them out, they refused to apologize and kept the ads up. 

What they are doing is insulting and Islamophobic.

You cannot claim to be progressive while launching a Super PAC that exclusively targets progressives and supports Republicans in the general.",2023-11-01 20:43:50+00:00
