,Name,Text,Time
46,Sky News,"""We understand a teenager has been shot. Is this the right way to handle the situation?"" asks @SkyYaldaHakim 

Deputy Mayor of Jerusalem @FleurHassanN says ""part of the deal is that there would be no celebrations for the release of attempted murderers.""

https://t.co/3UMY3Z3sYn https://t.co/1g5UqlSjbv",2023-11-27 18:09:28+00:00
47,Ilhan Omar,"This is beneath the dignity of any adult, let alone someone seeking public office. It is reminiscent of the worst kinds of lies and misogyny that we are hearing from people like Donald Trump, who think they can say anything about women and get away with it. Like Trump, instead of engaging in an adult debate, @DonSamuelsMN relies on lies and sexism. We need civility now more than ever and Don’s behavior should be alarming to anyone who agrees.",2023-11-29 00:24:57+00:00
48,Racket,Yiiiikes. Don Samuels on Rep. Omar: ‘You’re Not Cute Enough. You Don’t Dress Well Enough. Nothing About You Is Attractive Enough.’ https://t.co/1b5GL8FmaG,2023-11-28 23:27:00+00:00
49,Ilhan Omar,"I am horrified and shocked that Hisham, Kinnan, and Tahseen were shot simply while walking down the street in Burlington, VT. 

I am grateful authorities are now investigating this heinous act as a potential hate crime. https://t.co/Qo39ub3UX4",2023-11-27 23:51:00+00:00
50,Ilhan Omar,RT @WCCO: Natalie Hudson to be sworn in as Minnesota Supreme Court's first chief justice of color Monday https://t.co/GlfN6Xc70r,2023-11-27 18:42:57+00:00
51,WCCO | CBS News Minnesota,Natalie Hudson to be sworn in as Minnesota Supreme Court's first chief justice of color Monday https://t.co/GlfN6Xc70r,2023-11-27 14:30:32+00:00
52,Ilhan Omar,"RT @profkagwanja: Congratulations to President Hassan Sheikh Mahmoud and the people of Somalia upon Somalia’s admission as the eighth member of the East Africa Community.  With EAC citizens exempted from visa requirements, Somali entrepreneurs can now travel freely and invest across the 5.45 million km2 region, larger than the European Union.",2023-11-24 21:46:23+00:00
53,Peter Kagwanja,"Congratulations to President Hassan Sheikh Mahmoud and the people of Somalia upon Somalia’s admission as the eighth member of the East Africa Community.  With EAC citizens exempted from visa requirements, Somali entrepreneurs can now travel freely and invest across the 5.45 million km2 region, larger than the European Union.",2023-11-24 17:11:15+00:00
54,Ilhan Omar,"RT @TheVillaSomalia: A historic day for #Somalia at the 23rd EAC Summit in Arusha, Tanzania. The Federal Republic of Somalia is honored to join the East African Community as its 8th member, marking a new era of hope and shared prosperity in the region. https://t.co/APb8Dthahz",2023-11-24 20:59:38+00:00
55,Villa Somalia,"A historic day for #Somalia at the 23rd EAC Summit in Arusha, Tanzania. The Federal Republic of Somalia is honored to join the East African Community as its 8th member, marking a new era of hope and shared prosperity in the region. https://t.co/APb8Dthahz",2023-11-24 14:08:27+00:00
56,Ilhan Omar,"RT @Hormuud: 🌟 Proud Moment for Somalia and Hormuud Telecom! 

Our CEO, Ahmed Mohamud Yusuf emerges as CEO of the Year at the World Communications Awards 2023, putting Somalia's telecom industry on the global map. 🌍
The awards were launched in 1999 by @totaltelecom and have been a global celebration of the successes and innovations of the telecoms industry ever since. 

Mr. Yusuf competed against CEOs from renowned companies such as Deutsche Telekom (Germany), MasMovil (Spain), Colt Technology Services (United Kingdom), Kacific Broadband Satellites (South East Asia), and Bahrain Network. 

His victory at the World Communications Awards 2023 is undoubtedly a proud moment that shines a spotlight on Hormuud Telecom and brings international recognition to our country's telecom industry.

#WorldCommunicationssAwards2023",2023-11-24 20:59:05+00:00
57,Hormuud Telecom,"🌟 Proud Moment for Somalia and Hormuud Telecom! 

Our CEO, Ahmed Mohamud Yusuf emerges as CEO of the Year at the World Communications Awards 2023, putting Somalia's telecom industry on the global map. 🌍
The awards were launched in 1999 by @totaltelecom and have been a global celebration of the successes and innovations of the telecoms industry ever since. 

Mr. Yusuf competed against CEOs from renowned companies such as Deutsche Telekom (Germany), MasMovil (Spain), Colt Technology Services (United Kingdom), Kacific Broadband Satellites (South East Asia), and Bahrain Network. 

His victory at the World Communications Awards 2023 is undoubtedly a proud moment that shines a spotlight on Hormuud Telecom and brings international recognition to our country's telecom industry.

#WorldCommunicationssAwards2023",2023-11-23 14:49:56+00:00
58,Ilhan Omar,"RT @MarkPocan: The truth: @AIPAC is a conservative org, raising money from rich Republicans &amp; tries to buy Democratic primaries with it. It distorts campaign finance law in the worst way. Their big money influence is toxic to democracy. Forget what they claim, look at their record. Toxic money.",2023-11-24 18:31:33+00:00
