,Name,Text,Time
20,UNRWA,"🛑 Spreading unsubstantiated claims about @UNRWA must stop immediately.

Making serious allegations in the public domain, unsupported by any evidence or verifiable facts in support thereof may amount to misinformation.

FULL Statement ⬇️
https://t.co/gzNCMnVeif https://t.co/1XGV99RbXw",2023-12-01 18:08:42+00:00
21,Ted Cruz,"RT @gekaminsky: Stripe is under fire from Sens. Ted Cruz and Marco Rubio, as well as House members, for working with an Israeli-designated terror organization to funnel taxpayer dollars to Gaza, @dcexaminer learns.

https://t.co/jFlnUdaODx",2023-12-04 13:45:20+00:00
22,Gabe Kaminsky,"Stripe is under fire from Sens. Ted Cruz and Marco Rubio, as well as House members, for working with an Israeli-designated terror organization to funnel taxpayer dollars to Gaza, @dcexaminer learns.

https://t.co/jFlnUdaODx",2023-12-04 13:33:51+00:00
23,Ted Cruz,"Congratulations!

https://t.co/QRQqQQ5uTd",2023-12-03 22:15:05+00:00
24,SMU Football,"YOUR SMU MUSTANGS 
ARE AAC CHAMPIONS 🏆

#PonyUpDallas https://t.co/yH8Wm0hPs5",2023-12-03 00:44:57+00:00
25,Ted Cruz,"Week In Review: Hunter Biden has Demands for Congress, Woke Ideology Impacts Disney, plus Ted Cruz makes His Silver Screen Debut. 

Don’t miss @benfergusonshow recap the biggest stories this week on Verdict.
https://t.co/dIkboo9lv7",2023-12-03 20:34:23+00:00
26,Ted Cruz,"RT @BlazeTV: ""Today's Democrat party is structurally pro-China. All of their key stakeholders are in bed with China. Big business, big tech, big universities, big Hollywood."" - @tedcruz https://t.co/v8WUv5RhvP",2023-12-03 20:31:24+00:00
27,BlazeTV,"""Today's Democrat party is structurally pro-China. All of their key stakeholders are in bed with China. Big business, big tech, big universities, big Hollywood."" - @tedcruz https://t.co/v8WUv5RhvP",2023-12-01 21:01:07+00:00
28,Ted Cruz,RT @varderes_crypto: What a moment. Ted Cruz is the bulwark against Elizabeth Warren's anti-crypto/pro-CBDC tyranny. Texas is extremely anti-CBDC and Cruz is fighting hard to ensure it never gets incorporated into the American financial system.,2023-12-02 22:27:02+00:00
29,Varderes,What a moment. Ted Cruz is the bulwark against Elizabeth Warren's anti-crypto/pro-CBDC tyranny. Texas is extremely anti-CBDC and Cruz is fighting hard to ensure it never gets incorporated into the American financial system.,2023-12-02 15:45:57+00:00
30,Maestro,"Another highlight of the @NABSummit was @varderes_crypto   discussion with Senator Ted Cruz @tedcruz 👏

We engaged in an invigorating conversation about #Bitcoin, #web3, and #blockchain, emphasizing the importance of passing legislation that positions the US as a leader in blockchain technology. This drive is pivotal for economic growth and financial security 💯",2023-12-01 19:07:59+00:00
31,Ted Cruz,"RT @GoMaestroOrg: Another highlight of the @NABSummit was @varderes_crypto   discussion with Senator Ted Cruz @tedcruz 👏

We engaged in an invigorating conversation about #Bitcoin, #web3, and #blockchain, emphasizing the importance of passing legislation that positions the US as a leader in blockchain technology. This drive is pivotal for economic growth and financial security 💯",2023-12-02 22:26:54+00:00
32,Ted Cruz,"RT @RepBrianBabin: Go woke, go broke!

This should serve as a wake-up call to all corporations bending the knee to wokeness: Americans are sick of spending their hard-earned money and being force-fed a radical agenda in return. https://t.co/9sprwX0DtJ",2023-12-02 19:35:05+00:00
33,Brian Babin,"Go woke, go broke!

This should serve as a wake-up call to all corporations bending the knee to wokeness: Americans are sick of spending their hard-earned money and being force-fed a radical agenda in return. https://t.co/9sprwX0DtJ",2023-12-01 18:46:51+00:00
34,Ted Cruz,WaPo shilling for Hamas….,2023-12-02 19:20:45+00:00
35,Shadi Hamid,Incredible exchange. Kudos to @ryangrim for pushing Ted Cruz on these points. The fact that anyone is still suggesting that the Israeli military cares about precision is also incredible.,2023-11-29 20:00:46+00:00
