,Name,Text,Time
47,Anderson Cooper,"RT @60Minutes: “Take out your phone, pull out an app, and with one click you’re booking the whole trip.”

Paul Sciarra, Joby’s executive chairman, tells Anderson Cooper what he envisions booking an eVTOL during rush hour could look like. https://t.co/ajiqujmXqK https://t.co/aOZiNtIWsl",2022-04-17 23:50:31+00:00
48,60 Minutes,"“Take out your phone, pull out an app, and with one click you’re booking the whole trip.”

Paul Sciarra, Joby’s executive chairman, tells Anderson Cooper what he envisions booking an eVTOL during rush hour could look like. https://t.co/ajiqujmXqK https://t.co/aOZiNtIWsl",2022-04-17 23:48:40+00:00
49,Anderson Cooper,"RT @60Minutes: Joby CEO JoeBen Bevirt has been working on eVTOL aircraft for over a decade. It’s difficult to get a two-ton eVTOL off the ground using battery power, so he hired the man who helped develop Tesla’s. https://t.co/whM4zVALWB https://t.co/cBmcHalZWB",2022-04-17 23:45:38+00:00
50,60 Minutes,"Joby CEO JoeBen Bevirt has been working on eVTOL aircraft for over a decade. It’s difficult to get a two-ton eVTOL off the ground using battery power, so he hired the man who helped develop Tesla’s. https://t.co/whM4zVALWB https://t.co/cBmcHalZWB",2022-04-17 23:45:05+00:00
51,Anderson Cooper,"RT @60Minutes: “Only until [an aircraft has] met that safety threshold, will we be prepared to certify it.”

Acting FAA administrator Billy Nolen explains the rigorous certification process an eVTOL will have to undergo before it can fly passengers in the U.S.
https://t.co/STlygVGt6t https://t.co/UNnZvycOfZ",2022-04-17 23:44:50+00:00
52,60 Minutes,"“Only until [an aircraft has] met that safety threshold, will we be prepared to certify it.”

Acting FAA administrator Billy Nolen explains the rigorous certification process an eVTOL will have to undergo before it can fly passengers in the U.S.
https://t.co/STlygVGt6t https://t.co/UNnZvycOfZ",2022-04-17 23:43:17+00:00
53,Anderson Cooper,"RT @60Minutes: Electric vertical takeoff and landing vehicles, or eVTOLs, could be the solution to rush hour traffic. But jumping in one to get across town is still a long way off. Anderson Cooper tested out Lift Aircraft’s Hexa to see what this future could look like. https://t.co/fYkDjXQtY9 https://t.co/mdMXcIgnV9",2022-04-17 23:44:14+00:00
54,60 Minutes,"Electric vertical takeoff and landing vehicles, or eVTOLs, could be the solution to rush hour traffic. But jumping in one to get across town is still a long way off. Anderson Cooper tested out Lift Aircraft’s Hexa to see what this future could look like. https://t.co/fYkDjXQtY9 https://t.co/mdMXcIgnV9",2022-04-17 23:42:21+00:00
55,Anderson Cooper,RT @CNN: ICC Chief Prosecutor Karim Asad Ahmad Khan talks to @andersoncooper about his war crimes probe after Russia’s invasion of Ukraine https://t.co/FqbwNOxnrB,2022-03-17 02:18:47+00:00
56,CNN,ICC Chief Prosecutor Karim Asad Ahmad Khan talks to @andersoncooper about his war crimes probe after Russia’s invasion of Ukraine https://t.co/FqbwNOxnrB,2022-03-17 02:06:31+00:00
