,Name,Text,Time
75,Chuck Schumer,"Students in Queens ran rampant demanding the firing of a Jewish teacher just because she attended a rally supporting Israel. She was forced to remain locked in an office.

I invited her to come hear my Senate address on antisemitism, and I’m honored she accepted. That is courage.",2023-11-29 18:26:39+00:00
76,Chuck Schumer,"Many Jewish Americans feel too alone to face this discrimination as antisemitic hate crimes skyrocket.

I implore every person, community, and institution to stand with Jewish Americans and denounce antisemitism in all its forms.",2023-11-29 18:08:40+00:00
77,Chuck Schumer,"Antisemitism is a crisis.

Jewish Americans represent 2% of the population, yet are the targets of 55% of all religion-based hate crimes.

This problem has been worsening in recent years, but since October 7th, hate crimes against Jewish Americans have skyrocketed by over 300%.",2023-11-29 17:49:06+00:00
78,Chuck Schumer,RT @NDiament: We @OUAdvocacy thank @SenSchumer for his powerful speech on the floor of the Senate this morning.,2023-11-29 17:22:55+00:00
79,Nathan Diament,We @OUAdvocacy thank @SenSchumer for his powerful speech on the floor of the Senate this morning.,2023-11-29 15:51:51+00:00
80,Chuck Schumer,"RT @cspan: .@SenSchumer: ""To us, the Jewish people, the rise of antisemitism is a crisis, a five-alarm fire that must be extinguished."" 

Watch more here: https://t.co/4PjqyW5lyk https://t.co/KTGxr5OCUu",2023-11-29 17:22:28+00:00
81,CSPAN,".@SenSchumer: ""To us, the Jewish people, the rise of antisemitism is a crisis, a five-alarm fire that must be extinguished."" 

Watch more here: https://t.co/4PjqyW5lyk https://t.co/KTGxr5OCUu",2023-11-29 15:12:44+00:00
82,Chuck Schumer,"RT @AIPAC: WATCH NOW: @SenSchumer delivers a major address on antisemitism and anti-Israel discrimination.

Click here to watch live: https://t.co/hy0orYYgsQ",2023-11-29 17:22:21+00:00
83,AIPAC | Text ISRAEL to 24722 | #StandWithIsrael,"WATCH NOW: @SenSchumer delivers a major address on antisemitism and anti-Israel discrimination.

Click here to watch live: https://t.co/hy0orYYgsQ",2023-11-29 15:09:01+00:00
84,Chuck Schumer,"The rise of antisemitism is a five-alarm fire

I feel compelled to speak out as America's highest-ranking Jewish elected official

The normalization and intensifying of this rise in hate is the danger many Jewish people fear most

Read my @NYTimes op-ed:
https://t.co/Umn9Y650KP",2023-11-29 15:55:13+00:00
